Region,Provincia,Distrito,Ubigeo,Votosemitidos,Electores,N_Partidos,P_ausentismo,Año
ANCASH,BOLOGNESI,MANGAS,20313,393.0,280.0,2.0,0.35152009728622635,2022
ANCASH,BOLOGNESI,PACLLON,20315,671.0,231.0,2.0,0.3371801722983735,2022
ANCASH,BOLOGNESI,PACLLON,20315,671.0,232.0,2.0,0.3371801722983735,2022
ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,20317,301.0,181.0,3.0,0.27789543687333745,2022
ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,20317,301.0,180.0,3.0,0.27789543687333745,2022
ANCASH,BOLOGNESI,TICLLOS,20320,419.0,184.0,3.0,0.2559719262372173,2022
ANCASH,BOLOGNESI,TICLLOS,20320,419.0,185.0,3.0,0.2559719262372173,2022
ANCASH,BOLOGNESI,ANTONIO RAYMONDI,20321,839.0,241.0,3.0,0.23169072848439126,2022
ANCASH,BOLOGNESI,ANTONIO RAYMONDI,20321,839.0,242.0,3.0,0.23169072848439126,2022
ANCASH,BOLOGNESI,CANIS,20322,172.0,204.0,3.0,0.1408609420779806,2022
ANCASH,BOLOGNESI,CANIS,20322,172.0,203.0,3.0,0.1408609420779806,2022
ANCASH,BOLOGNESI,COLQUIOC,20323,1273.0,275.0,4.0,0.18776061608203423,2022
ANCASH,BOLOGNESI,COLQUIOC,20323,1273.0,276.0,4.0,0.18776061608203423,2022
ANCASH,BOLOGNESI,COLQUIOC,20323,1273.0,298.0,4.0,0.18776061608203423,2022
ANCASH,BOLOGNESI,LA PRIMAVERA,20324,184.0,174.0,1.0,0.5287356321839081,2022
ANCASH,BOLOGNESI,HUALLANCA,20325,3172.0,300.0,4.0,0.1652423007246377,2022
ANCASH,BOLOGNESI,HUALLANCA,20325,3172.0,299.0,4.0,0.1652423007246377,2022
ANCASH,CARHUAZ,ACOPAMPA,20402,1506.0,291.0,5.0,0.14573111142493997,2022
ANCASH,CARHUAZ,ACOPAMPA,20402,1506.0,292.0,5.0,0.14573111142493997,2022
ANCASH,CARHUAZ,ACOPAMPA,20402,1506.0,300.0,5.0,0.14573111142493997,2022
ANCASH,CARHUAZ,AMASHCA,20403,1239.0,270.0,3.0,0.25462013879398054,2022
ANCASH,CARHUAZ,AMASHCA,20403,1239.0,271.0,3.0,0.25462013879398054,2022
ANCASH,CARHUAZ,ANTA,20404,1629.0,300.0,5.0,0.1510376712328767,2022
ANCASH,CARHUAZ,ANTA,20404,1629.0,219.0,5.0,0.1510376712328767,2022
ANCASH,CARHUAZ,ATAQUERO,20405,1173.0,262.0,5.0,0.14905088091022553,2022
ANCASH,CARHUAZ,ATAQUERO,20405,1173.0,263.0,5.0,0.14905088091022553,2022
ANCASH,CARHUAZ,MARCARA,20406,5631.0,300.0,7.0,0.09992957979744305,2022
ANCASH,CARHUAZ,MARCARA,20406,5631.0,291.0,7.0,0.09992957979744305,2022
ANCASH,CARHUAZ,MARCARA,20406,5631.0,292.0,7.0,0.09992957979744305,2022
ANCASH,CARHUAZ,PARIAHUANCA,20407,977.0,251.0,6.0,0.12954478382765236,2022
ANCASH,CARHUAZ,PARIAHUANCA,20407,977.0,252.0,6.0,0.12954478382765236,2022
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,20408,1607.0,295.0,6.0,0.12332379737663884,2022
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,20408,1607.0,296.0,6.0,0.12332379737663884,2022
ANCASH,CARHUAZ,SHILLA,20409,2058.0,264.0,6.0,0.10937408441696828,2022
ANCASH,CARHUAZ,SHILLA,20409,2058.0,265.0,6.0,0.10937408441696828,2022
ANCASH,CARHUAZ,SHILLA,20409,2058.0,248.0,6.0,0.10937408441696828,2022
ANCASH,CARHUAZ,SHILLA,20409,2058.0,249.0,6.0,0.10937408441696828,2022
ANCASH,CARHUAZ,TINCO,20410,1917.0,300.0,7.0,0.10386728281465123,2022
ANCASH,CARHUAZ,TINCO,20410,1917.0,285.0,7.0,0.10386728281465123,2022
ANCASH,CARHUAZ,TINCO,20410,1917.0,286.0,7.0,0.10386728281465123,2022
ANCASH,CARHUAZ,YUNGAR,20411,2211.0,231.0,4.0,0.20200834837249929,2022
ANCASH,CARHUAZ,YUNGAR,20411,2211.0,232.0,4.0,0.20200834837249929,2022
ANCASH,CARHUAZ,YUNGAR,20411,2211.0,300.0,4.0,0.20200834837249929,2022
ANCASH,CASMA,BUENA VISTA ALTA,20502,2935.0,292.0,5.0,0.15438758959493915,2022
ANCASH,CASMA,BUENA VISTA ALTA,20502,2935.0,293.0,5.0,0.15438758959493915,2022
ANCASH,CASMA,COMANDANTE NOEL,20503,1683.0,274.0,9.0,0.08778626278549174,2022
ANCASH,CASMA,COMANDANTE NOEL,20503,1683.0,275.0,9.0,0.08778626278549174,2022
